NCT Number	Title	Acronym	Status	Conditions	Interventions	Outcome Measures	Sponsors	Gender	Age	Enrollment	Funders	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	Last Verified	First Submitted	First Posted	Results First Submitted	Results First Posted	Last Update Submitted	Last Update Posted	URL	Setting	Stage	Sponsor_Type	Controlled	Multi-Arm	Pediatric	Country_PI	Cancer_Group	Cancer_Type	Drug_INN	Primary-EP	Phase	DrugBank	Removed
NCT01936233	Clinical Study of Antiviral and Aspirin Treatment in Liver Cancer After Radical Surgery		Recruiting	Hepatocellular Carcinoma|Recurrence	Drug: Aspirin; Drug: Lamivudine	recurrence free survival; overall survival; adverse events	Fudan University	All	18 Years to 75 Years   (Adult, Older Adult)	112	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	LC-ASPIRIN	08/01/2013	12/01/2021	12/01/2023			09/06/2013				08/05/2019	https://ClinicalTrials.gov/show/NCT01936233	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	China	GI	Liver Cancer	Acetylsalicylic Acid	OS; DFS/RFS/EFS	Phase 3	DB00945	N
NCT02804815	Add-Aspirin: A Trial Assessing the Effects of Aspirin on Disease Recurrence and Survival After Primary Therapy in Common Non Metastatic Solid Tumours		Recruiting	Cancer|Breast Cancer|Prostate Cancer|Colorectal Cancer|Gastro-oesophageal Cancer	Drug: Aspirin 100mg; Drug: Aspirin 300mg; Drug: Placebo 100mg; Drug: Placebo 300mg	Overall Survival; Invasive disease-free survival (IDFS); Disease-free survival (DFS); Overall survival; Biochemical recurrence-free survival (bRFS); Adherence; Number of participants with serious haemorrhage (grade 3 or above) as measured by CTCAE V4.0. Data will be collected on case report forms.; Number of participants with treatment-related (active drug and placebo) cardiovascular events as assessed by CTCAE v4.0; Number of participants with second malignancies as assessed by case report form; Number of participants that show a decline in cognition and extent of decline as assessed by the Montreal Cognitive Assessment (MoCA)	University College, London	All	16 Years and older   (Child, Adult, Older Adult)	11000	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other	14/0814; 2013-004398-28; 120104	10/01/2015	10/01/2026	10/01/2026			17/06/2016				21/02/2021	https://ClinicalTrials.gov/show/NCT02804815	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	Y	N	United Kingdom	Breast; Urological; GI	Any Breast Cancer; Prostate Cancer; Esophageal Cancer; Colon Cancer; Rectal Cancer	Acetylsalicylic Acid	OS; DFS/RFS/EFS; Recurrence rate	Phase 3	DB00945	N
NCT03900871	Clinical Research on the Effect of Aspirin on the Disease Free Survival Rate of Esophageal Carcinoma		Not yet recruiting	Aspirin as an Adjuvant Therapy, to Observe Its Effect on the Disease Free Survival Rate of Patients With Esophageal Squamous Cell Carcinoma	Drug: Acetylsalicylic acid	disease free survival	Hebei Medical University Fourth Hospital	All	18 Years to 70 Years   (Adult, Older Adult)	600	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2018051702	04/10/2019	30/04/2020	30/04/2024			04/03/2019				04/03/2019	https://ClinicalTrials.gov/show/NCT03900871		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	China	GI	Esophageal Cancer	Acetylsalicylic Acid	DFS/RFS/EFS	Phase 1	DB00945	N
NCT03290820	Aspirin Improve Survival of N2-3 Nasopharyngeal Carcinoma Patients		Not yet recruiting	Nasopharyngeal Carcinoma	Radiation: Radiotherapy; Drug: Concurrent chemotherapy; Drug: Aspirin	Distant-metastasis-free survival; Overall survival; Aspirin-related toxicities	Sun Yat-sen University	All	18 Years to 70 Years   (Adult, Older Adult)	184	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2017-FXY-067	01/01/2018	30/09/2024	30/09/2024			25/09/2017				26/10/2017	https://ClinicalTrials.gov/show/NCT03290820		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	China	Head and Neck	Nasopharyngeal Cancer	Acetylsalicylic Acid	OS; DFS/RFS/EFS	Phase 2	DB00945	N
NCT04840004	Efficacy and Safety of High Dose Aprepitant Treatment in Patients With Advanced Non-Small Cell Lung Cancer		Recruiting	Non Small Cell Lung Cancer|Advanced Cancer|Refractory Cancer	Drug: Aprepitant	Effect; Progression Free Survival and Overall Survival; High Dose	PlusVitech S.L.; ECONiX Ara t rma Analiz ve Dan  manl k A. .	All	18 Years and older   (Adult, Older Adult)	24	Other; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PLUSV_00	03/10/2021	15/12/2021	15/12/2021			04/09/2021				05/04/2021	https://ClinicalTrials.gov/show/NCT04840004		Advanced/Metastatic; Recurrent/Refractory	Company	N	N	N	Turkey	Lung	Non-Small Cell Lung Cancer	Aprepitant	Response rate	Phase 2	DB00673	N
NCT04801511	Preoperative IMRT With Concurrent High-dose Vitamin C and mFOLFOX6 in Locally Advanced Rectal Cancer	CORT	Recruiting	Rectal Cancer	Drug: Vitamin C	PCR rate; acute toxicity; Resection rate of anus preserving surgery; 2-year survival rate; 2-year disease-free survival rate	Zhou Fuxiang; Zhongnan Hospital	All	18 Years to 70 Years   (Adult, Older Adult)	60	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	HCCSC R02	03/08/2021	30/06/2023	31/12/2024			17/03/2021				17/03/2021	https://ClinicalTrials.gov/show/NCT04801511		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	China	GI	Rectal Cancer	Ascorbic acid	Response rate	Phase 2	DB00126	N
NCT04463459	Effect of Vitamin C and E in Breast Cancer Patients Undergoing Chemotherapy		Recruiting	Breast Cancer	Drug: Vitamin C, Vitamin E	To measure the serum level of MDA and RBC glutathione in breast cancer patients receiving chemotherapy and following administration of vitamin C and vitamin E concurrent to chemotherapy.	Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh	Female	30 Years to 70 Years   (Adult, Older Adult)	80	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	BSMMU/2019/8874	10/10/2019	20/07/2020	15/09/2020			07/09/2020				07/09/2020	https://ClinicalTrials.gov/show/NCT04463459		Any/All Stages	Hospital/University/Research Institute	Y	N	N	Bangladesh	Breast	Any Breast Cancer	Ascorbic acid	Biomarker	Other	DB00126	N
NCT04035096	The Effectiveness of High-dose Intravenous Vitamin c With Very Low Carbohydrate Diet for Terminal Colon Cancer Patients		Not yet recruiting	Colon Cancer Stage Iv	Drug: Ascorbic Acid; Other: Control group	Change from baseline by computerized tomography of Chest, abdomen and pelvis; Number of participants with changes of tumor markers	National Taiwan University Hospital	All	20 Years and older   (Adult, Older Adult)	40	Other	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	201901083MINB	01/01/2020	31/12/2021	30/06/2022			29/07/2019				29/07/2019	https://ClinicalTrials.gov/show/NCT04035096		Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	Taiwan	GI	Colon Cancer	Ascorbic acid	Response rate	Phase 1/2	DB00126	N
NCT04516681	IV Ascorbic Acid in Peritoneal Metastatic Colorectal Cancer		Recruiting	Colorectal Cancer|Vitamin C|GLUT3	Drug: Ascorbic acid; Drug: FOLFOXIRI Protocol	Objective Response Rate; Progression Free Survival; Overall Survival	Fudan University	All	18 Years to 75 Years   (Adult, Older Adult)	400	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Vitamin C-GLUT3-2020	09/01/2020	09/01/2022	09/01/2023			18/08/2020				18/08/2020	https://ClinicalTrials.gov/show/NCT04516681	Palliative	Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	China	GI	Colon Cancer	Ascorbic acid	Response rate	Phase 3	DB00126	N
NCT04488783	Potentiation of Chemotherapy in Brain Tumors by Zinc		Recruiting	Newly Diagnosed Glioblastoma Who Underwent at Least Partial Resection of the Tumor Surgically	Dietary Supplement: zinc and ascorbate	progression free survival (PFS); overall survival (OS); Tcell count; Level of Interleukin 6; Tumor Necrosis Factor quantification	Sheba Medical Center	All	18 Years to 90 Years   (Adult, Older Adult)	30	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	4266-17-SMC	30/07/2020	30/07/2022	30/12/2022			28/07/2020				28/07/2020	https://ClinicalTrials.gov/show/NCT04488783		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Israel	CNS	Glioblastoma	Ascorbic acid	PFS	Other	DB00126	N
NCT03799094	Vitamin C and Tyrosine Kinase Inhibitor in Lung Cancer Patients With Epidermal Growth Factor Receptor Mutations		Recruiting	Carcinoma, Non-Small-Cell Lung	Drug: Vitamin C; Drug: Tyrosine kinase inhibitor	Progression free survival; Overall survival	Clifford Hospital, Guangzhou, China	All	18 Years to 75 Years   (Adult, Older Adult)	150	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	2/2018-19	12/05/2018	31/12/2020	31/12/2022			01/10/2019				01/10/2019	https://ClinicalTrials.gov/show/NCT03799094		Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	China	Lung	Non-Small Cell Lung Cancer	Ascorbic acid	PFS	Phase 1/2	DB00126	N
NCT03986268	Vitamin D Can Increase Pathological Response of the Breast Cancer Patients Treated With Neoadjuvant Therapy		Recruiting	Vitamin D Deficiency|Chemotherapy Effect|Pathology	Drug: Vit D	pathological complete response (PCR); pathological complete response (PCR) relations with vitamin D levels; pathological complete response (PCR) ratio regarding molecular sub types	Florence Nightingale Hospital, Istanbul	Female	18 Years to 65 Years   (Adult, Older Adult)	50	Other	Interventional Study	Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2019-40016-06	05/10/2019	12/10/2020	12/10/2020			14/06/2019				22/07/2020	https://ClinicalTrials.gov/show/NCT03986268		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Turkey	Breast	Any Breast Cancer	Cholecalciferol	Response rate	Other	DB00169	N
NCT03389659	XELOX/mFOLFOX Plus Vitamin D3 vs. XELOX/mFOLFOX as Firstline Chemotherapy in mCRC		Not yet recruiting	Vitamin D3	Drug: vitamin D3; Drug: Placebo	PFS(progression-free survival); OS(overall survival); DCR; ORR; Incidence of Treatment-Emergent Adverse Events	Tianjin Medical University Cancer Institute and Hospital	All	18 Years and older   (Adult, Older Adult)	750	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	TianjinCIH20171212	02/01/2018	12/01/2021	06/01/2022			01/03/2018				01/03/2018	https://ClinicalTrials.gov/show/NCT03389659	Palliative	Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	China	GI	Colon Cancer; Rectal Cancer	Cholecalciferol	PFS	Phase 3	DB00169	N
NCT03652467	The Safety and Efficacy of Deferoxamine for Treating Unresectable Hepatocellular Carcinoma		Recruiting	Hepatocellular Carcinoma Non-resectable	Drug: Conventional TACE; Drug: Deferoxamine and conventional TACE	Progression Free Survival (PFS) in Participants With Unresectable Hepatocellular Cancer; Time to Progression; Overall Survival; Percentage of Participants With Complete Response or Partial Response; Duration of Response; Tumor Necrosis; Number of Participants With Iron Reduction of Liver; The Prognostic Value of Reduction of Liver Iron; Number of Participants With Drug-Related Treatment-Emergent Adverse Events	Jinan Military General Hospital	All	18 Years and older   (Adult, Older Adult)	100	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	JNZY20181245	09/01/2018	09/01/2022	31/12/2023			29/08/2018				22/02/2019	https://ClinicalTrials.gov/show/NCT03652467		Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	China	GI	Liver Cancer	Deferoxamine	PFS	Phase 1	DB00746	N
NCT04265274	Vinorelbine, Cisplatin, Disulfiram and Copper in CTC_EMT Positive Refractory Metastatic Breast Cancer.		Recruiting	Metastatic Breast Cancer	Drug: Disulfiram; Drug: Vinorelbin; Drug: Cisplatin; Drug: Copper	Objective response rates; Progression-free survival; overall survival	National Cancer Institute, Slovakia	Female	18 Years and older   (Adult, Older Adult)	28	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BREAST-SK-001	01/01/2020	01/01/2022	01/01/2023			02/11/2020				03/03/2021	https://ClinicalTrials.gov/show/NCT04265274		Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	Slovakia	Breast	Breast Cancer - ER/HR+; Breast Cancer - HER2-	Disulfiram	Response rate	Phase 2	DB00822	N
NCT03950830	Disulfiram and Cisplatin in Refractory TGCTs.	DISGCT	Recruiting	Germ Cell Tumor	Drug: Disulfiram	Overall response rate; Progression-free survival; Overall survival	National Cancer Institute, Slovakia	Male	18 Years and older   (Adult, Older Adult)	20	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GCT-SK-006	14/05/2019	31/12/2021	31/12/2022			15/05/2019				08/06/2020	https://ClinicalTrials.gov/show/NCT03950830		Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	Slovakia	Urological	Testicular Cancer	Disulfiram	Response rate	Phase 2	DB00822	N
NCT04226066	Safety, Tolerability and Pharmacokinetics Characteristics of Recombinant Oncolytic Vaccinia Virus Injection T601 as a Single Drug or in Combination With Oral Flucytosine (5-FC), in Patients With Advanced Malignant Solid Tumors		Recruiting	Advanced Malignant Solid Tumors	Biological: T601; Combination Product: T601+5-FC	AEs (adverse events); Assessment of ORR (objective response rate); Assessment of DCR (disease control rate); Assessment of PFS (progression free survival); Quantification of viral genome in patients' blood samples by Quantitative Polymerase Chain Reaction.; Determination of 5-FC, 5-FU and FBAL concentration in plasma by updated LC/MS/MS method; T601 antibody test by ELISA	Tasly Tianjin Biopharmaceutical Co., Ltd.	All	18 Years to 75 Years   (Adult, Older Adult)	69	Industry	Interventional Study	Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	T60101	20/11/2019	31/05/2021	31/05/2022			13/01/2020				12/07/2020	https://ClinicalTrials.gov/show/NCT04226066		Advanced/Metastatic	Company	N	N	N	China	Multiple cancer types	Any solid tumours	Flucytosine	Safety and/or Dose; Response rate	Phase 1/2	DB01099	N
